code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,popDensity
W06000024,Merthyr Tydfil,306153,205467,W92000004,W92000004,W07000068,,,,528.2
E06000007,Warrington,362665,389223,E92000001,E12000002,E14001017,,,,1168
E06000008,Blackburn with Darwen,369254,421850,E92000001,E12000002,E14000570,,,,1129.4
E06000009,Blackpool,331921,436188,E92000001,E12000002,E14000572,,,,4041.1
E06000010,Kingston upon Hull,509765,430588,E92000001,E12000003,E14000771,,,,3730.1
E06000013,North Lincolnshire,493268,411782,E92000001,E12000003,E14000596,,,,200.4
E06000016,Leicester,459135,304861,E92000001,E12000004,E14000782,,,,5027.2
E06000022,Bath and North East Somerset,367057,162001,E92000001,E12000009,E14000547,,,,559.2
E06000025,South Gloucestershire,367431,183263,E92000001,E12000009,E14000702,,,,584.3
E06000030,Swindon,417817,185857,E92000001,E12000009,E14000851,,,,1014.4
E06000033,Southend-on-Sea,589363,185610,E92000001,E12000006,E14000899,,,,4335.6
E06000034,Thurrock,564863,181237,E92000001,E12000006,E14000933,,,,1074.2
E06000046,Isle of Wight,449779,86461,E92000001,E12000008,E14000762,,,,370
E06000049,Cheshire East,376729,364874,E92000001,E12000002,E14000646,,,,341.9
E06000052,Cornwall,199168,59975,E92000001,E12000009,E14000616,,,,160.9
E07000011,Huntingdonshire,521228,276573,E92000001,E12000006,E14000757,,,,199.6
E07000039,South Derbyshire,429750,326002,E92000001,E12000004,E14000935,,,,317.1
E07000040,East Devon,313793,96775,E92000001,E12000009,E14000623,,,,185.2
E07000044,South Hams,270440,54205,E92000001,E12000009,E14000950,,,,100
E07000064,Rother,578409,119997,E92000001,E12000008,E14000557,,,,182.8
E07000065,Wealden,554434,120966,E92000001,E12000008,E14001023,,,,192.2
E07000066,Basildon,570901,190821,E92000001,E12000006,E14000544,,,,1705.1
E07000073,Harlow,545614,209915,E92000001,E12000006,E14000729,,,,3056.1
E07000078,Cheltenham,395079,221973,E92000001,E12000009,E14000630,,,,2549.3
E07000081,Gloucester,383531,216834,E92000001,E12000009,E14000712,,,,3266.6
E07000083,Tewkesbury,394038,227458,E92000001,E12000009,E14000705,,,,229
E07000090,Havant,471226,104842,E92000001,E12000008,E14000736,,,,2228.4
E07000103,Watford,510556,197803,E92000001,E12000006,E14001021,,,,4772.2
E07000112,Folkestone and Hythe,610024,132599,E92000001,E12000008,E14000704,,,,307.5
E07000119,Fylde,339324,432384,E92000001,E12000002,E14000706,,,,491.2
E07000120,Hyndburn,374414,429238,E92000001,E12000002,E14000758,,,,1126.6
E07000124,Ribble Valley,370849,445761,E92000001,E12000002,E14000894,,,,105.6
E07000136,Boston,532926,343714,E92000001,E12000004,E14000582,,,,193.7
E07000142,West Lindsey,501339,389522,E92000001,E12000004,E14000707,,,,82.3
E07000147,North Norfolk,613546,332832,E92000001,E12000006,E14000603,,,,106.6
E07000168,Scarborough,488815,497619,E92000001,E12000003,E14000913,,,,133.2
E07000174,Mansfield,455327,364075,E92000001,E12000004,E14000810,,,,1440.2
E07000198,Staffordshire Moorlands,401331,353540,E92000001,E12000005,E14000966,,,,166.4
E07000202,Ipswich,616698,244356,E92000001,E12000006,E14000624,,,,3534.3
E07000214,Surrey Heath,492648,161313,E92000001,E12000008,E14000983,,,,951.2
E08000001,Bolton,369187,409211,E92000001,E12000002,E14000578,,,,2117
E08000019,Sheffield,430011,389797,E92000001,E12000003,E14000922,,,,1512.5
E09000012,Hackney,534348,185478,E92000001,E12000007,E14000720,,,,13593.3
E07000075,Rochford,594750,191782,E92000001,E12000006,E14000899,,,,512.7
E07000077,Uttlesford,556816,228707,E92000001,E12000006,E14000910,,,,142.5
E07000105,Ashford,596857,139969,E92000001,E12000008,E14000704,,,,228.6
