code,category,value,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011
E07000033,popDensity,500.7,Bolsover,448358,368917,E92000001,E12000004,E14000577,,,
E07000034,popDensity,1568.4,Chesterfield,440052,373318,E92000001,E12000004,E14000632,,,
E07000035,popDensity,90.3,Derbyshire Dales,420549,359062,E92000001,E12000004,E14000664,,,
E07000036,popDensity,1029.9,Erewash,443979,337734,E92000001,E12000004,E14000695,,,
E07000037,popDensity,168.7,High Peak,408491,386271,E92000001,E12000004,E14000748,,,
E07000038,popDensity,370.1,North East Derbyshire,436969,370027,E92000001,E12000004,E14000577,,,
E07000041,popDensity,2780,Exeter,293498,92447,E92000001,E12000009,E14000698,,,
E07000042,popDensity,90.8,Mid Devon,290588,109637,E92000001,E12000009,E14000623,,,
E07000043,popDensity,90.8,North Devon,265967,131782,E92000001,E12000009,E14000838,,,
E07000045,popDensity,200.1,Teignbridge,282849,79821,E92000001,E12000009,E14000623,,,
E07000046,popDensity,69.2,Torridge,241935,112003,E92000001,E12000009,E14001000,,,
E07000047,popDensity,49.2,West Devon,255465,86000,E92000001,E12000009,E14000623,,,
E07000061,popDensity,2302.6,Eastbourne,559822,99749,E92000001,E12000008,E14000684,,,
E07000062,popDensity,3053.9,Hastings,580952,110924,E92000001,E12000008,E14000735,,,
E07000063,popDensity,342,Lewes,541167,111026,E92000001,E12000008,E14000597,,,
E07000067,popDensity,253.8,Braintree,578133,230213,E92000001,E12000006,E14000590,,,
E07000068,popDensity,503.2,Brentwood,559999,195829,E92000001,E12000006,E14000594,,,
E07000069,popDensity,2005.4,Castle Point,579982,185122,E92000001,E12000006,E14000622,,,
E07000070,popDensity,535.9,Chelmsford,571456,205876,E92000001,E12000006,E14000806,,,
E07000071,popDensity,587.2,Colchester,597077,223202,E92000001,E12000006,E14000644,,,
E07000072,popDensity,398.2,Epping Forest,548522,203300,E92000001,E12000006,E14000693,,,
E07000074,popDensity,185,Maldon,592438,204831,E92000001,E12000006,E14000806,,,
E07000076,popDensity,440.9,Tendring,614571,223776,E92000001,E12000006,E14000642,,,
E07000079,popDensity,78,Cotswold,407474,213072,E92000001,E12000009,E14000991,,,
E07000080,popDensity,165.4,Forest of Dean,366318,214546,E92000001,E12000009,E14000705,,,
E07000082,popDensity,263,Stroud,379361,203473,E92000001,E12000009,E14000980,,,
E07000084,popDensity,292.1,Basingstoke and Deane,455819,153006,E92000001,E12000008,E14000545,,,
E07000085,popDensity,244.4,East Hampshire,473316,131076,E92000001,E12000008,E14000811,,,
E07000086,popDensity,1712.1,Eastleigh,447331,115065,E92000001,E12000008,E14000685,,,
E07000087,popDensity,1542.1,Fareham,454571,106165,E92000001,E12000008,E14000699,,,
E07000088,popDensity,3229.8,Gosport,459361,100995,E92000001,E12000008,E14000713,,,
E07000089,popDensity,461.8,Hart,476958,154529,E92000001,E12000008,E14000844,,,
E07000091,popDensity,233.7,New Forest,426464,106633,E92000001,E12000008,E14000828,,,
E07000092,popDensity,2554.9,Rushmoor,486069,153516,E92000001,E12000008,E14000530,,,
E07000093,popDensity,207.9,Test Valley,434314,136669,E92000001,E12000008,E14000857,,,
E07000094,popDensity,192.8,Winchester,454712,125708,E92000001,E12000008,E14001041,,,
E07000095,popDensity,1924.9,Broxbourne,534904,204646,E92000001,E12000006,E14000606,,,
E07000096,popDensity,729.8,Dacorum,500758,209858,E92000001,E12000006,E14000739,,,
E07000098,popDensity,1065.9,Hertsmere,518976,199022,E92000001,E12000006,E14000745,,,
E07000099,popDensity,354.9,North Hertfordshire,524291,230523,E92000001,E12000006,E14000749,,,
E07000102,popDensity,1055.8,Three Rivers,506561,196949,E92000001,E12000006,E14000951,,,
E07000106,popDensity,509.9,Canterbury,616375,158359,E92000001,E12000008,E14000619,,,
E07000107,popDensity,1605.3,Dartford,556785,172676,E92000001,E12000008,E14000659,,,
E07000108,popDensity,369.2,Dover,629815,151044,E92000001,E12000008,E14000670,,,
E07000109,popDensity,1079.9,Gravesham,566746,170115,E92000001,E12000008,E14000715,,,
E07000110,popDensity,446.9,Maidstone,580248,151563,E92000001,E12000008,E14000804,,,
E07000111,popDensity,326.4,Sevenoaks,551567,155211,E92000001,E12000008,E14000659,,,
E07000113,popDensity,406.2,Swale,595988,164044,E92000001,E12000008,E14000700,,,
E07000114,popDensity,1356.9,Thanet,632674,166985,E92000001,E12000008,E14000852,,,
E07000115,popDensity,550.6,Tonbridge and Malling,564511,155282,E92000001,E12000008,E14000626,,,
E07000116,popDensity,348,Tunbridge Wells,570254,137789,E92000001,E12000008,E14000804,,,
E07000117,popDensity,855,Burnley,385506,431414,E92000001,E12000002,E14000609,,,
