code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,home,metro,train,bus,taxi,motorcycle,carDriver,carPassenger,bicycle,foot,other,noWork
E07000062,Hastings,580952,110924,E92000001,E12000008,E14000735,,,,10943,44,1068,1170,651,294,18992,2184,536,4495,523,50096
E07000063,Lewes,541167,111026,E92000001,E12000008,E14000597,,,,15713,37,1028,2038,99,235,19656,1322,603,3350,426,55398
E07000067,Braintree,578133,230213,E92000001,E12000006,E14000590,,,,21933,137,1698,847,224,295,41638,2798,792,5241,682,78984
E07000068,Brentwood,559999,195829,E92000001,E12000006,E14000594,,,,16784,539,2471,370,178,131,14189,867,178,1815,379,39146
E07000069,Castle Point,579982,185122,E92000001,E12000006,E14000622,,,,11672,122,1839,808,165,203,21646,1536,422,2142,455,48581
E07000070,Chelmsford,571456,205876,E92000001,E12000006,E14000806,,,,34522,256,2911,2034,204,341,38282,2574,1725,6231,783,91661
E07000071,Colchester,597077,223202,E92000001,E12000006,E14000644,,,,28165,121,2069,2706,437,456,43618,3329,2274,8004,837,100700
E07000072,Epping Forest,548522,203300,E92000001,E12000006,E14000693,,,,25171,4744,1538,853,467,297,27015,1723,403,2805,778,69184
E07000074,Maldon,592438,204831,E92000001,E12000006,E14000806,,,,9789,55,638,244,57,111,16866,998,292,1898,309,34952
E07000076,Tendring,614571,223776,E92000001,E12000006,E14000642,,,,13322,77,1090,642,288,309,33570,2432,1018,4895,638,90008
E07000079,Cotswold,407474,213072,E92000001,E12000009,E14000991,,,,17228,40,157,217,41,149,20099,1377,529,3838,404,46753
E07000080,Forest of Dean,366318,214546,E92000001,E12000009,E14000705,,,,11230,10,95,489,34,201,23378,1640,286,2285,341,47014
E07000082,Stroud,379361,203473,E92000001,E12000009,E14000980,,,,20942,25,176,664,66,290,30820,1960,860,3657,459,61185
E07000084,Basingstoke and Deane,455819,153006,E92000001,E12000008,E14000545,,,,38057,58,1396,2156,367,358,41928,3447,1394,7036,776,88181
E07000085,East Hampshire,473316,131076,E92000001,E12000008,E14000811,,,,23141,42,707,417,99,235,30391,1968,487,3710,534,64012
E07000086,Eastleigh,447331,115065,E92000001,E12000008,E14000685,,,,23893,41,853,829,189,421,35345,2351,1148,3829,617,66927
E07000087,Fareham,454571,106165,E92000001,E12000008,E14000699,,,,19206,32,599,501,179,333,28382,1744,1200,2838,618,58882
E07000088,Gosport,459361,100995,E92000001,E12000008,E14000713,,,,8865,23,208,1128,223,486,20010,1575,2433,2876,656,43468
E07000089,Hart,476958,154529,E92000001,E12000008,E14000844,,,,22579,46,665,227,68,187,21942,1194,589,2535,413,48963
E07000091,New Forest,426464,106633,E92000001,E12000008,E14000828,,,,23960,28,448,709,140,405,42845,2761,1794,4767,845,97083
E07000092,Rushmoor,486069,153516,E92000001,E12000008,E14000530,,,,15301,47,1217,1526,155,293,26669,2514,903,3835,558,46741
E07000093,Test Valley,434314,136669,E92000001,E12000008,E14000857,,,,23856,33,510,570,247,256,31784,2418,1102,4528,562,64631
E07000094,Winchester,454712,125708,E92000001,E12000008,E14001041,,,,26249,61,578,865,106,219,24217,1628,802,5324,524,66871
E07000095,Broxbourne,534904,204646,E92000001,E12000006,E14000606,,,,14218,977,2608,997,314,234,23586,1613,518,2686,554,50701
E07000096,Dacorum,500758,209858,E92000001,E12000006,E14000739,,,,30226,279,1640,1042,390,302,34277,2463,605,5279,695,77883
E07000098,Hertsmere,518976,199022,E92000001,E12000006,E14000745,,,,21051,1310,1999,1509,269,234,21164,1314,357,2974,585,55061
E07000099,North Hertfordshire,524291,230523,E92000001,E12000006,E14000749,,,,28689,113,2442,457,159,211,27107,2061,875,4567,476,66049
E07000102,Three Rivers,506561,196949,E92000001,E12000006,E14000951,,,,19608,1698,1101,491,153,165,19817,1170,403,1948,395,46823
E07000106,Canterbury,616375,158359,E92000001,E12000008,E14000619,,,,20109,105,1537,1906,210,259,30603,2493,1105,7145,693,91265
E07000107,Dartford,556785,172676,E92000001,E12000008,E14000659,,,,18217,475,4573,1963,394,429,26492,1904,532,3262,583,57930
E07000108,Dover,629815,151044,E92000001,E12000008,E14000670,,,,12291,52,1023,1100,264,264,27830,2344,674,4462,622,65484
E07000109,Gravesham,566746,170115,E92000001,E12000008,E14000715,,,,13037,203,2655,1665,224,344,24799,2591,405,3264,574,57139
E07000110,Maidstone,580248,151563,E92000001,E12000008,E14000804,,,,26842,108,2239,1583,259,308,43325,3414,800,6631,897,89373
E07000111,Sevenoaks,551567,155211,E92000001,E12000008,E14000659,,,,23775,161,3063,441,140,303,23224,1522,289,2959,506,64130
E07000113,Swale,595988,164044,E92000001,E12000008,E14000700,,,,17587,73,2200,477,214,387,37930,2990,935,5725,684,82474
E07000114,Thanet,632674,166985,E92000001,E12000008,E14000852,,,,14408,72,1448,2076,561,362,29473,3166,1194,5787,641,81397
E07000115,Tonbridge and Malling,564511,155282,E92000001,E12000008,E14000626,,,,23812,78,2200,603,123,283,30531,1984,564,3712,539,67775
E07000116,Tunbridge Wells,570254,137789,E92000001,E12000008,E14000804,,,,23633,67,1724,835,130,192,21856,1629,506,4855,473,59413
E07000117,Burnley,385506,431414,E92000001,E12000002,E14000609,,,,6738,16,193,1631,1143,112,22418,2568,403,4434,376,54612
E07000118,Chorley,357265,418497,E92000001,E12000002,E14000637,,,,16580,27,479,889,188,182,31980,2357,634,3465,464,60488
E07000121,Lancaster,353328,463919,E92000001,E12000002,E14000776,,,,15430,39,458,2094,304,309,31607,3061,1692,6769,638,80533
E07000122,Pendle,387886,441045,E92000001,E12000002,E14000875,,,,7461,19,174,1151,911,105,22486,2282,335,4296,403,56134
E07000123,Preston,354185,435253,E92000001,E12000002,E14000706,,,,16614,31,598,4224,748,235,32080,3899,1156,6403,646,81204
E07000125,Rossendale,382473,421988,E92000001,E12000002,E14000902,,,,8036,18,68,1026,256,119,19570,1507,153,2060,303,37757
E07000126,South Ribble,353203,425975,E92000001,E12000002,E14000894,,,,15731,15,305,1087,200,210,30627,2245,971,2904,416,56324
E07000127,West Lancashire,341717,412911,E92000001,E12000002,E14001033,,,,13497,31,695,753,835,141,29653,2781,731,3904,525,63883
E07000128,Wyre,344008,445536,E92000001,E12000002,E14000572,,,,12479,227,247,1128,191,198,26895,1989,834,3038,611,64111
E07000129,Blaby,452852,297375,E92000001,E12000004,E14000940,,,,15526,23,134,998,196,185,28981,1968,881,2181,373,51480
E07000130,Charnwood,457739,315833,E92000001,E12000004,E14000625,,,,25638,57,408,1975,234,307,44097,3163,1940,6274,707,99172
E07000131,Harborough,467383,293977,E92000001,E12000004,E14000940,,,,17474,21,269,405,74,102,25108,1372,535,3057,354,48854
E07000132,Hinckley and Bosworth,441354,302271,E92000001,E12000004,E14000583,,,,16666,28,168,702,113,189,31401,1948,824,3419,429,57754
E07000133,Melton,477226,322729,E92000001,E12000004,E14000909,,,,7261,5,120,203,45,93,13863,912,420,2349,194,26287
E07000134,North West Leicestershire,440239,317453,E92000001,E12000004,E14000858,,,,14874,18,66,669,165,262,30052,1952,595,2922,385,52744
E07000135,Oadby and Wigston,461524,299185,E92000001,E12000004,E14000728,,,,7477,24,95,774,145,96,14012,1042,493,1584,244,31756
E07000137,East Lindsey,535540,374440,E92000001,E12000004,E14000582,,,,10993,20,83,615,162,235,33094,2317,1193,6224,641,86719
E06000007,Warrington,362665,389223,E92000001,E12000002,E14001017,,,,32647,51,686,2056,764,408,52839,4639,2552,5666,883,107783
E06000008,Blackburn with Darwen,369254,421850,E92000001,E12000002,E14000570,,,,12388,32,522,1568,2120,196,35313,4279,445,6018,677,91181
E06000009,Blackpool,331921,436188,E92000001,E12000002,E14000572,,,,12013,262,321,3381,948,333,29376,3481,1375,7004,868,81674
