code,areaName,cx,cy,country,region,Constituency,LA,MSOA,TTWA2011,d_N/A,d_2less,d_2_5,d_5_10,d_10_20,d_20_30,d_30_40,d_40_60,d_60plus,d_home,d_offshore
E07000061,Eastbourne,559822,99749,E92000001,E12000008,E14000684,,,,57855,8250,9192,2009,2585,2047,861,491,764,10125,7507
E07000062,Hastings,580952,110924,E92000001,E12000008,E14000735,,,,50096,6476,8006,2744,1450,1552,675,514,801,10943,7738
E07000063,Lewes,541167,111026,E92000001,E12000008,E14000597,,,,55398,4403,2684,4137,6689,1654,628,519,724,15713,7354
E07000067,Braintree,578133,230213,E92000001,E12000006,E14000590,,,,78984,7697,4934,5478,10634,5481,2302,2764,1500,21933,13561
E07000068,Brentwood,559999,195829,E92000001,E12000006,E14000594,,,,39146,2458,2017,2615,4102,2386,1644,302,259,16784,5335
E07000069,Castle Point,579982,185122,E92000001,E12000006,E14000622,,,,48581,3558,3758,5436,3174,1929,894,1699,328,11672,8558
E07000070,Chelmsford,571456,205876,E92000001,E12000006,E14000806,,,,91661,8886,9928,5629,7955,4002,2330,3049,715,34522,12845
E07000071,Colchester,597077,223202,E92000001,E12000006,E14000644,,,,100700,11653,12856,7877,6132,4522,2251,1370,2917,28165,14272
E07000072,Epping Forest,548522,203300,E92000001,E12000006,E14000693,,,,69184,3745,3790,6665,9196,3885,1128,404,359,25171,11453
E07000074,Maldon,592438,204831,E92000001,E12000006,E14000806,,,,34952,2888,1394,2222,4645,2147,628,1005,590,9789,5949
E07000076,Tendring,614571,223776,E92000001,E12000006,E14000642,,,,90008,7984,5310,4931,7129,3780,948,1140,1920,13322,11817
E07000079,Cotswold,407474,213072,E92000001,E12000009,E14000991,,,,46753,4705,1909,2987,4626,3126,1428,840,886,17228,6347
E07000080,Forest of Dean,366318,214546,E92000001,E12000009,E14000705,,,,47014,3724,2433,3894,5778,3401,1296,598,614,11230,7020
E07000082,Stroud,379361,203473,E92000001,E12000009,E14000980,,,,61185,5664,5364,6725,6970,2817,1388,666,686,20942,8694
E07000084,Basingstoke and Deane,455819,153006,E92000001,E12000008,E14000545,,,,88181,10872,11058,6910,8173,4614,1616,1927,1681,38057,12065
E07000085,East Hampshire,473316,131076,E92000001,E12000008,E14000811,,,,64012,5289,2717,5430,7311,4013,1943,1228,1071,23141,9591
E07000086,Eastleigh,447331,115065,E92000001,E12000008,E14000685,,,,66927,6028,6547,10766,7069,1448,943,706,858,23893,11258
E07000087,Fareham,454571,106165,E92000001,E12000008,E14000699,,,,58882,4823,6727,7411,6224,1303,407,543,827,19206,8160
E07000088,Gosport,459361,100995,E92000001,E12000008,E14000713,,,,43468,5381,6902,5920,2511,1104,253,324,725,8865,6499
E07000089,Hart,476958,154529,E92000001,E12000008,E14000844,,,,48963,3618,3261,5885,4723,1694,939,1139,501,22579,6106
